lang	case_id	equiv_class	smoke	expected
python_3	cs_p1_const_field__t0	p1_const_field	yes	1
javascript	cs_p1_const_field__t0	p1_const_field	yes	1
erlang	cs_p1_const_field__t0	p1_const_field	yes	1
typescript	cs_p1_const_field__t0	p1_const_field	yes	1
ruby	cs_p1_const_field__t0	p1_const_field	yes	1
lua	cs_p1_const_field__t0	p1_const_field	yes	1
php	cs_p1_const_field__t0	p1_const_field	yes	1
dart	cs_p1_const_field__t0	p1_const_field	yes	1
rust	cs_p1_const_field__t0	p1_const_field	yes	1
go	cs_p1_const_field__t0	p1_const_field	yes	1
swift	cs_p1_const_field__t0	p1_const_field	yes	1
java	cs_p1_const_field__t0	p1_const_field	yes	1
kotlin	cs_p1_const_field__t0	p1_const_field	yes	1
csharp	cs_p1_const_field__t0	p1_const_field	yes	1
c	cs_p1_const_field__t0	p1_const_field	yes	1
cpp	cs_p1_const_field__t0	p1_const_field	yes	1
gdscript	cs_p1_const_field__t0	p1_const_field	yes	1
python_3	cs_p1_const_field__t1	p1_const_field	no	5
javascript	cs_p1_const_field__t1	p1_const_field	no	5
erlang	cs_p1_const_field__t1	p1_const_field	no	5
typescript	cs_p1_const_field__t1	p1_const_field	no	5
ruby	cs_p1_const_field__t1	p1_const_field	no	5
lua	cs_p1_const_field__t1	p1_const_field	no	5
php	cs_p1_const_field__t1	p1_const_field	no	5
dart	cs_p1_const_field__t1	p1_const_field	no	5
rust	cs_p1_const_field__t1	p1_const_field	no	5
go	cs_p1_const_field__t1	p1_const_field	no	5
swift	cs_p1_const_field__t1	p1_const_field	no	5
java	cs_p1_const_field__t1	p1_const_field	no	5
kotlin	cs_p1_const_field__t1	p1_const_field	no	5
csharp	cs_p1_const_field__t1	p1_const_field	no	5
c	cs_p1_const_field__t1	p1_const_field	no	5
cpp	cs_p1_const_field__t1	p1_const_field	no	5
gdscript	cs_p1_const_field__t1	p1_const_field	no	5
python_3	cs_p1_const_field__t2	p1_const_field	no	-3
javascript	cs_p1_const_field__t2	p1_const_field	no	-3
erlang	cs_p1_const_field__t2	p1_const_field	no	-3
typescript	cs_p1_const_field__t2	p1_const_field	no	-3
ruby	cs_p1_const_field__t2	p1_const_field	no	-3
lua	cs_p1_const_field__t2	p1_const_field	no	-3
php	cs_p1_const_field__t2	p1_const_field	no	-3
dart	cs_p1_const_field__t2	p1_const_field	no	-3
rust	cs_p1_const_field__t2	p1_const_field	no	-3
go	cs_p1_const_field__t2	p1_const_field	no	-3
swift	cs_p1_const_field__t2	p1_const_field	no	-3
java	cs_p1_const_field__t2	p1_const_field	no	-3
kotlin	cs_p1_const_field__t2	p1_const_field	no	-3
csharp	cs_p1_const_field__t2	p1_const_field	no	-3
c	cs_p1_const_field__t2	p1_const_field	no	-3
cpp	cs_p1_const_field__t2	p1_const_field	no	-3
gdscript	cs_p1_const_field__t2	p1_const_field	no	-3
python_3	cs_p1_const_field__t3	p1_const_field	no	0
javascript	cs_p1_const_field__t3	p1_const_field	no	0
erlang	cs_p1_const_field__t3	p1_const_field	no	0
typescript	cs_p1_const_field__t3	p1_const_field	no	0
ruby	cs_p1_const_field__t3	p1_const_field	no	0
lua	cs_p1_const_field__t3	p1_const_field	no	0
php	cs_p1_const_field__t3	p1_const_field	no	0
dart	cs_p1_const_field__t3	p1_const_field	no	0
rust	cs_p1_const_field__t3	p1_const_field	no	0
go	cs_p1_const_field__t3	p1_const_field	no	0
swift	cs_p1_const_field__t3	p1_const_field	no	0
java	cs_p1_const_field__t3	p1_const_field	no	0
kotlin	cs_p1_const_field__t3	p1_const_field	no	0
csharp	cs_p1_const_field__t3	p1_const_field	no	0
c	cs_p1_const_field__t3	p1_const_field	no	0
cpp	cs_p1_const_field__t3	p1_const_field	no	0
gdscript	cs_p1_const_field__t3	p1_const_field	no	0
python_3	cs_p1_const_field__t4	p1_const_field	no	100
javascript	cs_p1_const_field__t4	p1_const_field	no	100
erlang	cs_p1_const_field__t4	p1_const_field	no	100
typescript	cs_p1_const_field__t4	p1_const_field	no	100
ruby	cs_p1_const_field__t4	p1_const_field	no	100
lua	cs_p1_const_field__t4	p1_const_field	no	100
php	cs_p1_const_field__t4	p1_const_field	no	100
dart	cs_p1_const_field__t4	p1_const_field	no	100
rust	cs_p1_const_field__t4	p1_const_field	no	100
go	cs_p1_const_field__t4	p1_const_field	no	100
swift	cs_p1_const_field__t4	p1_const_field	no	100
java	cs_p1_const_field__t4	p1_const_field	no	100
kotlin	cs_p1_const_field__t4	p1_const_field	no	100
csharp	cs_p1_const_field__t4	p1_const_field	no	100
c	cs_p1_const_field__t4	p1_const_field	no	100
cpp	cs_p1_const_field__t4	p1_const_field	no	100
gdscript	cs_p1_const_field__t4	p1_const_field	no	100
python_3	cs_p1_const_field__t5	p1_const_field	no	50
javascript	cs_p1_const_field__t5	p1_const_field	no	50
erlang	cs_p1_const_field__t5	p1_const_field	no	50
typescript	cs_p1_const_field__t5	p1_const_field	no	50
ruby	cs_p1_const_field__t5	p1_const_field	no	50
lua	cs_p1_const_field__t5	p1_const_field	no	50
php	cs_p1_const_field__t5	p1_const_field	no	50
dart	cs_p1_const_field__t5	p1_const_field	no	50
rust	cs_p1_const_field__t5	p1_const_field	no	50
go	cs_p1_const_field__t5	p1_const_field	no	50
swift	cs_p1_const_field__t5	p1_const_field	no	50
