lang	case_id	equiv_class	smoke	expected
python_3	perf_p1_many_dispatches__smoke	p1_many_dispatches	yes	100
javascript	perf_p1_many_dispatches__smoke	p1_many_dispatches	yes	100
erlang	perf_p1_many_dispatches__smoke	p1_many_dispatches	yes	100
typescript	perf_p1_many_dispatches__smoke	p1_many_dispatches	yes	100
ruby	perf_p1_many_dispatches__smoke	p1_many_dispatches	yes	100
lua	perf_p1_many_dispatches__smoke	p1_many_dispatches	yes	100
php	perf_p1_many_dispatches__smoke	p1_many_dispatches	yes	100
dart	perf_p1_many_dispatches__smoke	p1_many_dispatches	yes	100
rust	perf_p1_many_dispatches__smoke	p1_many_dispatches	yes	100
go	perf_p1_many_dispatches__smoke	p1_many_dispatches	yes	100
swift	perf_p1_many_dispatches__smoke	p1_many_dispatches	yes	100
java	perf_p1_many_dispatches__smoke	p1_many_dispatches	yes	100
kotlin	perf_p1_many_dispatches__smoke	p1_many_dispatches	yes	100
csharp	perf_p1_many_dispatches__smoke	p1_many_dispatches	yes	100
c	perf_p1_many_dispatches__smoke	p1_many_dispatches	yes	100
cpp	perf_p1_many_dispatches__smoke	p1_many_dispatches	yes	100
gdscript	perf_p1_many_dispatches__smoke	p1_many_dispatches	yes	100
python_3	perf_p1_many_dispatches__core	p1_many_dispatches	no	10000
javascript	perf_p1_many_dispatches__core	p1_many_dispatches	no	10000
erlang	perf_p1_many_dispatches__core	p1_many_dispatches	no	10000
typescript	perf_p1_many_dispatches__core	p1_many_dispatches	no	10000
ruby	perf_p1_many_dispatches__core	p1_many_dispatches	no	10000
lua	perf_p1_many_dispatches__core	p1_many_dispatches	no	10000
php	perf_p1_many_dispatches__core	p1_many_dispatches	no	10000
dart	perf_p1_many_dispatches__core	p1_many_dispatches	no	10000
rust	perf_p1_many_dispatches__core	p1_many_dispatches	no	10000
go	perf_p1_many_dispatches__core	p1_many_dispatches	no	10000
swift	perf_p1_many_dispatches__core	p1_many_dispatches	no	10000
java	perf_p1_many_dispatches__core	p1_many_dispatches	no	10000
kotlin	perf_p1_many_dispatches__core	p1_many_dispatches	no	10000
csharp	perf_p1_many_dispatches__core	p1_many_dispatches	no	10000
c	perf_p1_many_dispatches__core	p1_many_dispatches	no	10000
cpp	perf_p1_many_dispatches__core	p1_many_dispatches	no	10000
gdscript	perf_p1_many_dispatches__core	p1_many_dispatches	no	10000
python_3	perf_p1_many_dispatches__full	p1_many_dispatches	no	1000000
javascript	perf_p1_many_dispatches__full	p1_many_dispatches	no	1000000
erlang	perf_p1_many_dispatches__full	p1_many_dispatches	no	1000000
typescript	perf_p1_many_dispatches__full	p1_many_dispatches	no	1000000
ruby	perf_p1_many_dispatches__full	p1_many_dispatches	no	1000000
lua	perf_p1_many_dispatches__full	p1_many_dispatches	no	1000000
php	perf_p1_many_dispatches__full	p1_many_dispatches	no	1000000
dart	perf_p1_many_dispatches__full	p1_many_dispatches	no	1000000
rust	perf_p1_many_dispatches__full	p1_many_dispatches	no	1000000
go	perf_p1_many_dispatches__full	p1_many_dispatches	no	1000000
swift	perf_p1_many_dispatches__full	p1_many_dispatches	no	1000000
java	perf_p1_many_dispatches__full	p1_many_dispatches	no	1000000
kotlin	perf_p1_many_dispatches__full	p1_many_dispatches	no	1000000
csharp	perf_p1_many_dispatches__full	p1_many_dispatches	no	1000000
c	perf_p1_many_dispatches__full	p1_many_dispatches	no	1000000
cpp	perf_p1_many_dispatches__full	p1_many_dispatches	no	1000000
gdscript	perf_p1_many_dispatches__full	p1_many_dispatches	no	1000000
python_3	perf_p2_transition_pingpong__smoke	p2_transition_pingpong	yes	100
javascript	perf_p2_transition_pingpong__smoke	p2_transition_pingpong	yes	100
erlang	perf_p2_transition_pingpong__smoke	p2_transition_pingpong	yes	100
typescript	perf_p2_transition_pingpong__smoke	p2_transition_pingpong	yes	100
ruby	perf_p2_transition_pingpong__smoke	p2_transition_pingpong	yes	100
lua	perf_p2_transition_pingpong__smoke	p2_transition_pingpong	yes	100
php	perf_p2_transition_pingpong__smoke	p2_transition_pingpong	yes	100
dart	perf_p2_transition_pingpong__smoke	p2_transition_pingpong	yes	100
rust	perf_p2_transition_pingpong__smoke	p2_transition_pingpong	yes	100
go	perf_p2_transition_pingpong__smoke	p2_transition_pingpong	yes	100
swift	perf_p2_transition_pingpong__smoke	p2_transition_pingpong	yes	100
java	perf_p2_transition_pingpong__smoke	p2_transition_pingpong	yes	100
kotlin	perf_p2_transition_pingpong__smoke	p2_transition_pingpong	yes	100
csharp	perf_p2_transition_pingpong__smoke	p2_transition_pingpong	yes	100
c	perf_p2_transition_pingpong__smoke	p2_transition_pingpong	yes	100
cpp	perf_p2_transition_pingpong__smoke	p2_transition_pingpong	yes	100
gdscript	perf_p2_transition_pingpong__smoke	p2_transition_pingpong	yes	100
python_3	perf_p2_transition_pingpong__core	p2_transition_pingpong	no	10000
javascript	perf_p2_transition_pingpong__core	p2_transition_pingpong	no	10000
erlang	perf_p2_transition_pingpong__core	p2_transition_pingpong	no	10000
typescript	perf_p2_transition_pingpong__core	p2_transition_pingpong	no	10000
ruby	perf_p2_transition_pingpong__core	p2_transition_pingpong	no	10000
lua	perf_p2_transition_pingpong__core	p2_transition_pingpong	no	10000
