lang	case_id	equiv_class	smoke	expected
python_3	pp_p1_dom_persists__t0	p1_dom_persists	yes	3
javascript	pp_p1_dom_persists__t0	p1_dom_persists	yes	3
erlang	pp_p1_dom_persists__t0	p1_dom_persists	yes	3
typescript	pp_p1_dom_persists__t0	p1_dom_persists	yes	3
ruby	pp_p1_dom_persists__t0	p1_dom_persists	yes	3
lua	pp_p1_dom_persists__t0	p1_dom_persists	yes	3
php	pp_p1_dom_persists__t0	p1_dom_persists	yes	3
dart	pp_p1_dom_persists__t0	p1_dom_persists	yes	3
rust	pp_p1_dom_persists__t0	p1_dom_persists	yes	3
go	pp_p1_dom_persists__t0	p1_dom_persists	yes	3
swift	pp_p1_dom_persists__t0	p1_dom_persists	yes	3
java	pp_p1_dom_persists__t0	p1_dom_persists	yes	3
kotlin	pp_p1_dom_persists__t0	p1_dom_persists	yes	3
csharp	pp_p1_dom_persists__t0	p1_dom_persists	yes	3
c	pp_p1_dom_persists__t0	p1_dom_persists	yes	3
cpp	pp_p1_dom_persists__t0	p1_dom_persists	yes	3
gdscript	pp_p1_dom_persists__t0	p1_dom_persists	yes	3
python_3	pp_p1_dom_persists__t1	p1_dom_persists	no	12
javascript	pp_p1_dom_persists__t1	p1_dom_persists	no	12
erlang	pp_p1_dom_persists__t1	p1_dom_persists	no	12
typescript	pp_p1_dom_persists__t1	p1_dom_persists	no	12
ruby	pp_p1_dom_persists__t1	p1_dom_persists	no	12
lua	pp_p1_dom_persists__t1	p1_dom_persists	no	12
php	pp_p1_dom_persists__t1	p1_dom_persists	no	12
dart	pp_p1_dom_persists__t1	p1_dom_persists	no	12
rust	pp_p1_dom_persists__t1	p1_dom_persists	no	12
go	pp_p1_dom_persists__t1	p1_dom_persists	no	12
swift	pp_p1_dom_persists__t1	p1_dom_persists	no	12
java	pp_p1_dom_persists__t1	p1_dom_persists	no	12
kotlin	pp_p1_dom_persists__t1	p1_dom_persists	no	12
csharp	pp_p1_dom_persists__t1	p1_dom_persists	no	12
c	pp_p1_dom_persists__t1	p1_dom_persists	no	12
cpp	pp_p1_dom_persists__t1	p1_dom_persists	no	12
gdscript	pp_p1_dom_persists__t1	p1_dom_persists	no	12
