lang	case_id	equiv_class	smoke	expected
python_3	st_p1_many_dispatches__smoke	p1_many_dispatches	yes	10
javascript	st_p1_many_dispatches__smoke	p1_many_dispatches	yes	10
erlang	st_p1_many_dispatches__smoke	p1_many_dispatches	yes	10
typescript	st_p1_many_dispatches__smoke	p1_many_dispatches	yes	10
ruby	st_p1_many_dispatches__smoke	p1_many_dispatches	yes	10
lua	st_p1_many_dispatches__smoke	p1_many_dispatches	yes	10
php	st_p1_many_dispatches__smoke	p1_many_dispatches	yes	10
dart	st_p1_many_dispatches__smoke	p1_many_dispatches	yes	10
rust	st_p1_many_dispatches__smoke	p1_many_dispatches	yes	10
go	st_p1_many_dispatches__smoke	p1_many_dispatches	yes	10
swift	st_p1_many_dispatches__smoke	p1_many_dispatches	yes	10
java	st_p1_many_dispatches__smoke	p1_many_dispatches	yes	10
kotlin	st_p1_many_dispatches__smoke	p1_many_dispatches	yes	10
csharp	st_p1_many_dispatches__smoke	p1_many_dispatches	yes	10
c	st_p1_many_dispatches__smoke	p1_many_dispatches	yes	10
cpp	st_p1_many_dispatches__smoke	p1_many_dispatches	yes	10
gdscript	st_p1_many_dispatches__smoke	p1_many_dispatches	yes	10
python_3	st_p1_many_dispatches__full	p1_many_dispatches	no	100
javascript	st_p1_many_dispatches__full	p1_many_dispatches	no	100
erlang	st_p1_many_dispatches__full	p1_many_dispatches	no	100
typescript	st_p1_many_dispatches__full	p1_many_dispatches	no	100
ruby	st_p1_many_dispatches__full	p1_many_dispatches	no	100
lua	st_p1_many_dispatches__full	p1_many_dispatches	no	100
php	st_p1_many_dispatches__full	p1_many_dispatches	no	100
dart	st_p1_many_dispatches__full	p1_many_dispatches	no	100
rust	st_p1_many_dispatches__full	p1_many_dispatches	no	100
go	st_p1_many_dispatches__full	p1_many_dispatches	no	100
swift	st_p1_many_dispatches__full	p1_many_dispatches	no	100
java	st_p1_many_dispatches__full	p1_many_dispatches	no	100
kotlin	st_p1_many_dispatches__full	p1_many_dispatches	no	100
csharp	st_p1_many_dispatches__full	p1_many_dispatches	no	100
c	st_p1_many_dispatches__full	p1_many_dispatches	no	100
cpp	st_p1_many_dispatches__full	p1_many_dispatches	no	100
gdscript	st_p1_many_dispatches__full	p1_many_dispatches	no	100
python_3	st_p2_transition_pingpong__smoke	p2_transition_pingpong	yes	10
javascript	st_p2_transition_pingpong__smoke	p2_transition_pingpong	yes	10
erlang	st_p2_transition_pingpong__smoke	p2_transition_pingpong	yes	10
